StartPos,EndPos,Gene_ID,WT_1_1,WT_2_1,WT_3_1,HGPS_917_SCR_1,HGPS_478_SCR_1,HGPS_297_SCR_1,HGPS_917_NT_1,HGPS_478_NT_1,HGPS_297_NT_1,WRN_1_NT_1,WRN_2_NT_1,WRN_3_NT_1,WRN_1_L1_ASO_1,WRN_2_L1_ASO_1,WRN_3_L1_ASO_1,HGPS_917_L1_ASO_1,HGPS_478_L1_ASO_1,HGPS_297_L1_ASO_1,WRN_1_SCR_1,WRN_2_SCR_1,WRN_3_SCR_1
60951,71626,ENSG00000282458,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
68403,69178,ENSG00000282542,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
198264,246544,ENSG00000282508,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
248551,251571,ENSG00000282393,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
281040,291403,ENSG00000141934,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
305573,306467,ENSG00000267124,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
305573,344815,ENSG00000105556,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
405445,409147,ENSG00000183186,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
416589,461033,ENSG00000129946,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
463346,474983,ENSG00000181781,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
489176,505343,ENSG00000099866,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
490046,507833,ENSG00000266933,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
