filter_size,WT=>WT_ut,HGPS_ASO=>WT_ut,HGPS_NT=>WT_ut,HGPS_NT=>HGPS_ASO_ut,WRN_ASO=>WT_ut,WRN_NT=>WT_ut,WRN_NT=>WRN_ASO_ut,WT=>WT_lt,HGPS_ASO=>WT_lt,HGPS_NT=>WT_lt,HGPS_NT=>HGPS_ASO_lt,WRN_ASO=>WT_lt,WRN_NT=>WT_lt,WRN_NT=>WRN_ASO_lt,WT=>WT_diff,HGPS_ASO=>WT_diff,HGPS_NT=>WT_diff,HGPS_NT=>HGPS_ASO_diff,WRN_ASO=>WT_diff,WRN_NT=>WT_diff,WRN_NT=>WRN_ASO_diff
0.0,0.0001032766962653405,0.0005649523939682201,0.0005416313125830641,0.00019946160321051586,0.0009069104470826744,0.0007210298991275002,0.00022081145677663183,0.00010364875963305823,0.00031051105215300194,0.00030989140027956965,0.00032288773593071936,0.0005147604339283406,0.00033520161966669836,0.0003764687823631246,-3.720633677177325e-07,0.00025444134181521816,0.00023173991230349448,-0.0001234261327202035,0.0003921500131543338,0.00038582827946080184,-0.0001556573255864928
0.5,5.448747685888845e-06,3.152150483561927e-05,2.788181450848094e-05,8.90625488068916e-06,4.895771842491694e-05,3.8409126452009994e-05,1.1685552587350888e-05,5.46304708595001e-06,1.7500503010014007e-05,1.6486237867189593e-05,1.6877334218747958e-05,2.9673878022663726e-05,1.821012253089898e-05,2.000926563230708e-05,-1.429940006116463e-08,1.4021001825605263e-05,1.1395576641291346e-05,-7.971079338058798e-06,1.9283840402253215e-05,2.0199003921111012e-05,-8.32371304495619e-06
1.0,2.0427397229087654e-06,1.4065919038202022e-05,1.1536638682080716e-05,3.225394142362454e-06,2.092074909553648e-05,1.6209688386320898e-05,4.903755609856998e-06,2.045106113868882e-06,7.713986900048532e-06,6.895507530166193e-06,7.207180088139514e-06,1.4109028394169431e-05,7.948638107002802e-06,8.356166852025404e-06,-2.3663909601165256e-09,6.35193213815349e-06,4.641131151914522e-06,-3.98178594577706e-06,6.811720701367047e-06,8.261050279318096e-06,-3.4524112421684055e-06
1.5,1.1814709541378257e-06,9.345490771192543e-06,7.388683252683476e-06,2.058116735859157e-06,1.341539493788081e-05,1.0485462297833268e-05,3.2407821739263364e-06,1.1822086830293185e-06,4.9823851761383005e-06,4.324179144273073e-06,4.62176642842584e-06,9.745105780030676e-06,5.266366232004144e-06,5.407585310262684e-06,-7.377288914927627e-10,4.363105595054242e-06,3.064504108410403e-06,-2.563649692566683e-06,3.6702891578501337e-06,5.219096065829124e-06,-2.166803136336348e-06
2.0,8.191390859588928e-07,7.22858880090353e-06,5.628422060829168e-06,1.6397920601110043e-06,1.0243519286148626e-05,8.04135030183706e-06,2.5413773344262923e-06,8.194133178512644e-07,3.78558919315217e-06,3.1625031512910307e-06,3.4728399406362882e-06,7.759489548327755e-06,4.094968745919801e-06,4.1707869916371076e-06,-2.7423189237158734e-10,3.4429996077513596e-06,2.4659189095381377e-06,-1.833047880525284e-06,2.4840297378208707e-06,3.94638155591726e-06,-1.6294096572108153e-06
2.5,6.249657975459657e-07,6.060810162348122e-06,4.67677821770338e-06,1.4279809165829833e-06,8.556000465984887e-06,6.7189519477243765e-06,2.165264346209246e-06,6.250791931768919e-07,3.162476438999464e-06,2.5046249939758193e-06,2.843670740182157e-06,6.611467660109365e-06,3.44334382104955e-06,3.488905060032026e-06,-1.1339563092614844e-10,2.898333723348658e-06,2.172153223727561e-06,-1.4156898235991738e-06,1.944532805875522e-06,3.2756081266748266e-06,-1.3236407138227804e-06
3.0,5.061593901014024e-07,5.347195680883231e-06,4.0909109866978475e-06,1.2966433327479916e-06,7.5149730310709154e-06,5.8968427463938355e-06,1.9391778814352374e-06,5.062089228460956e-07,2.783392779138384e-06,2.0795714637169565e-06,2.45702242917993e-06,5.8558928453063425e-06,3.0288254469271897e-06,3.054206155180832e-06,-4.953274469315617e-11,2.5638029017448466e-06,2.011339522980891e-06,-1.1603790964319384e-06,1.659080185764573e-06,2.8680172994666458e-06,-1.1150282737455947e-06
3.5,4.277287097296807e-07,4.862371299771091e-06,3.695109779837453e-06,1.2075262793805389e-06,6.827708709041195e-06,5.339083050525448e-06,1.788321202174183e-06,4.2775528432399567e-07,2.5319497907181453e-06,1.790714852255982e-06,2.2005873237838485e-06,5.326105339063144e-06,2.73444544031252e-06,2.7551424677968383e-06,-2.657459431494405e-11,2.3304215090529456e-06,1.904394927581471e-06,-9.930610444033097e-07,1.5016033699780503e-06,2.604637610212928e-06,-9.668212656226554e-07
4.0,3.7323896264782437e-07,4.514122774537684e-06,3.4099804595329463e-06,1.1440090311550486e-06,6.364236869170137e-06,4.9335039600572665e-06,1.6789216462044709e-06,3.732575460509584e-07,2.357304126038835e-06,1.594164061069171e-06,2.0178324153591237e-06,4.933130943750312e-06,2.5083587818174167e-06,2.5390972860047574e-06,-1.8583403134019837e-11,2.156818648498849e-06,1.8158163984637753e-06,-8.738233842040751e-07,1.431105925419825e-06,2.4251451782398497e-06,-8.601756398002865e-07
4.5,3.334150043405735e-07,4.256383705852881e-06,3.191609239588253e-06,1.0979627687297906e-06,6.022292937492454e-06,4.6306166024971305e-06,1.5942818682749569e-06,3.334255766882046e-07,2.229597427825722e-06,1.4549732259663092e-06,1.88181409466466e-06,4.627819885385294e-06,2.3365548736066733e-06,2.378794568353481e-06,-1.0572347631131143e-11,2.026786278027159e-06,1.736636013621944e-06,-7.838513259348694e-07,1.3944730521071599e-06,2.2940617288904572e-06,-7.845127000785242e-07
