filter_size,Grp_1_20=>Grp_1_20_ut,Grp_21_40=>Grp_1_20_ut,Grp_41_60=>Grp_1_20_ut,Grp_61_80=>Grp_1_20_ut,Grp_81_100=>Grp_1_20_ut,Grp_1_20=>Grp_1_20_lt,Grp_21_40=>Grp_1_20_lt,Grp_41_60=>Grp_1_20_lt,Grp_61_80=>Grp_1_20_lt,Grp_81_100=>Grp_1_20_lt,Grp_1_20=>Grp_1_20_diff,Grp_21_40=>Grp_1_20_diff,Grp_41_60=>Grp_1_20_diff,Grp_61_80=>Grp_1_20_diff,Grp_81_100=>Grp_1_20_diff
0.0,3.710501815101999e-05,3.081007770139217e-05,3.801908569568019e-05,3.772838497776606e-05,3.897343546400075e-05,3.723949925601931e-05,6.350656433140647e-05,6.802698083277359e-05,6.439744425120925e-05,6.53896841848529e-05,-1.3448110499932037e-07,-3.26964866300143e-05,-3.00078951370934e-05,-2.6669059273443194e-05,-2.6416248720852154e-05
0.5,1.4461340715741395e-05,1.1588938886334777e-05,1.3645093641119179e-05,1.3750387253819024e-05,1.6429838454869978e-05,1.4513007189575393e-05,2.597351581859146e-05,2.537354414912867e-05,2.4751964390624552e-05,2.846221196885862e-05,-5.166647383399849e-08,-1.4384576932256683e-05,-1.172845050800949e-05,-1.1001577136805528e-05,-1.2032373513988642e-05
1.0,1.1939447412568562e-05,9.364649891874249e-06,1.094749166829798e-05,1.1103197678697774e-05,1.4193546418525957e-05,1.1972940767981373e-05,2.1504453452845893e-05,2.1067326710345216e-05,2.06047044899062e-05,2.453002937203668e-05,-3.3493355412810306e-08,-1.2139803560971644e-05,-1.0119835042047236e-05,-9.501506811208428e-06,-1.0336482953510724e-05
1.5,1.0759321887605097e-05,8.465573253980548e-06,9.864721513864806e-06,1.0051904160981397e-05,1.3167587011127003e-05,1.0780013782366058e-05,1.9519519316045008e-05,1.9135411694493142e-05,1.8759175237238343e-05,2.270024647459248e-05,-2.0691894760961797e-08,-1.105394606206446e-05,-9.270690180628336e-06,-8.707271076256946e-06,-9.532659463465479e-06
2.0,9.970053455715e-06,7.895241270335983e-06,9.18072597027599e-06,9.367240542565301e-06,1.2457650113818913e-05,9.983614415622966e-06,1.8340202805745268e-05,1.795050189578708e-05,1.7586314871755575e-05,2.1478498955756347e-05,-1.35609599079648e-08,-1.0444961535409284e-05,-8.769775925511089e-06,-8.219074329190274e-06,-9.020848841937434e-06
2.5,9.40249361479462e-06,7.5080909539141136e-06,8.69596421253884e-06,8.894581194627706e-06,1.1897212646547026e-05,9.412260456101923e-06,1.749218615645533e-05,1.7097697980344484e-05,1.6739839551832677e-05,2.051543401181512e-05,-9.766841307302484e-09,-9.984095202541217e-06,-8.401733767805644e-06,-7.84525835720497e-06,-8.618221365268094e-06
3.0,8.969804029348883e-06,7.236858493429781e-06,8.331366348559887e-06,8.513459305393333e-06,1.143608560078141e-05,8.977337773014254e-06,1.6838305672673077e-05,1.6432145895884554e-05,1.6070783581020816e-05,1.9729738953284573e-05,-7.533743665371102e-09,-9.601447179243296e-06,-8.100779547324667e-06,-7.5573242756274826e-06,-8.293653352503162e-06
3.5,8.618730586691467e-06,7.029354293020972e-06,8.019169656700466e-06,8.187233572816795e-06,1.1018918619685946e-05,8.625063001740909e-06,1.6301521820422923e-05,1.5883522394310776e-05,1.5507452365251966e-05,1.906196252343601e-05,-6.332415049441952e-09,-9.272167527401951e-06,-7.86435273761031e-06,-7.320218792435171e-06,-8.043043903750065e-06
4.0,8.314401389304195e-06,6.874841081145014e-06,7.74764063777062e-06,7.894751531230894e-06,1.0650665906443066e-05,8.319345869573802e-06,1.5835000872198384e-05,1.5412077388909135e-05,1.502044249464303e-05,1.848944506308565e-05,-4.9444802696064995e-09,-8.96015979105337e-06,-7.664436751138515e-06,-7.125690963412136e-06,-7.838779156642585e-06
4.5,8.050571512473313e-06,6.748648303779587e-06,7.510776540725232e-06,7.641054385923526e-06,1.0344480090473118e-05,8.055240630991456e-06,1.54026088069841e-05,1.4995271060119137e-05,1.4596737769679142e-05,1.8002001823698522e-05,-4.6691185181428965e-09,-8.653960503204513e-06,-7.484494519393904e-06,-6.955683383755616e-06,-7.657521733225404e-06
5.0,7.817247108293698e-06,6.632748442904288e-06,7.298595749405157e-06,7.407307097324542e-06,1.0060707322875867e-05,7.82065626245364e-06,1.5008904417791157e-05,1.4619211186608159e-05,1.4223199248709412e-05,1.7585218454722077e-05,-3.4091541599424823e-09,-8.376155974886868e-06,-7.320615437203002e-06,-6.81589215138487e-06,-7.52451113184621e-06
