,WRN_1_L1_ASO_1,WRN_2_L1_ASO_1,WRN_3_L1_ASO_1,StartPos,EndPos,Gene_ID,labels,mean_value
5,0.0022111660708914777,0.0020248970719869055,0.0026979512912715317,78540405,78552417,ENSG00000041357,1,0.002311338144716638
10,0.006756585649529638,0.007716518989952143,0.0073199548982212865,83016423,83067252,ENSG00000064726,1,0.007264353179234355
14,0.00828221464823618,0.009243334735226318,0.0077298338677892165,72199029,72231819,ENSG00000067225,1,0.008418461083750573
16,0.001829353750207343,0.0019601121902751368,0.0017657551088028861,99565417,99716488,ENSG00000068305,1,0.0018517403497617885
18,0.0019767532264184985,0.002201502824761869,0.00219357237901179,55826922,55993660,ENSG00000069869,1,0.0021239428100640525
20,0.004498484444148726,0.005102091000899955,0.004917612051891199,51952106,52067375,ENSG00000069956,1,0.004839395832313294
25,0.0011990903795769052,0.0012360157805099154,0.0011654414182754097,65442463,65517704,ENSG00000074603,1,0.0012001825261207435
27,0.003381299187307955,0.0037549056409320494,0.003831276372314353,65530418,65578349,ENSG00000074696,1,0.0036558270668514523
32,0.0011893872891031588,0.001194309839446575,0.0013795174253972938,80059568,80138393,ENSG00000086666,1,0.001254404851315676
34,0.0023422109047127894,0.00231116861060046,0.0023360104149226994,64963022,64990310,ENSG00000090487,1,0.0023297966434119833
35,0.0015717350882112368,0.0017550416047664452,0.0016535329514171194,50552473,50686797,ENSG00000092439,1,0.0016601032147982673
39,0.0018473714347655534,0.0020570421394314345,0.00187393201216767,42491233,42545356,ENSG00000092531,1,0.001926115195454886
41,0.0019871676895639925,0.002327774563405624,0.0021664250523820345,67200667,67255195,ENSG00000103591,1,0.00216045576845055
43,0.0014411583586053831,0.0016324528747012172,0.0014905587486542713,63121833,63142061,ENSG00000103642,1,0.0015213899939869574
53,0.002672476762426258,0.0025574994195767787,0.0024186865639392982,65726054,65891989,ENSG00000103769,1,0.002549554248647445
59,0.009695293800396293,0.008774334709382086,0.008737969910744074,80779343,80951776,ENSG00000103888,1,0.009069199473507485
63,0.0028727447836443547,0.0031571343087339536,0.0029806569784251277,42210447,42273584,ENSG00000103978,1,0.003003512023601145
64,0.001466918712208517,0.0014130309240644515,0.0013757046320373699,42412823,42491141,ENSG00000103994,1,0.0014185514227701129
77,0.0021090553772906704,0.0024659646887975947,0.0024420669730790003,44537125,44563029,ENSG00000104131,1,0.002339029013055755
83,0.0030423663261609315,0.0036107644736287597,0.00373792936678263,45587214,45615945,ENSG00000104164,1,0.0034636867221907734
85,0.0016016685671094502,0.0017428500921298827,0.001741576837623884,25333728,25439051,ENSG00000114062,1,0.0016953651656210723
87,0.002029906379205071,0.0022370624148654672,0.002428366911284681,76931738,76954393,ENSG00000117906,1,0.0022317785684517395
91,0.0014606427528527893,0.0015188279278634084,0.0013878380643806544,39934115,40035591,ENSG00000128829,1,0.0014557695816989505
102,0.0022833564034889027,0.002398458661810472,0.0023584117289554476,58771192,58861900,ENSG00000128923,1,0.002346742264751607
