,WT_1_1,WT_2_1,WT_3_1,StartPos,EndPos,Gene_ID,labels,mean_value
1,0.006153718216900773,0.005008571537901326,0.006033239862020471,23581014,23596316,ENSG00000004779,1,0.0057318432056075235
5,0.0015562493769350457,0.0016622916581252732,0.0016723484053510073,57428187,57447420,ENSG00000005194,1,0.0016302964801371087
9,0.004704080026992894,0.004410171293094837,0.0045933332672278135,19501693,19522123,ENSG00000006007,1,0.004569194862438515
10,0.0010600099182790537,0.000995836277638269,0.0010697295248320892,3263800,3301401,ENSG00000006194,1,0.0010418585735831373
12,0.031881954277620014,0.029434629966144106,0.03192109873918093,3018445,3022383,ENSG00000006327,1,0.031079227660981684
14,0.0008377235969348465,0.0011155838878489888,0.0009087568507202601,58059,76355,ENSG00000007384,1,0.0009540214451680317
17,0.0025164493635130847,0.00285552986128712,0.002671808574792111,1349240,1351878,ENSG00000007520,1,0.0026812625998641052
22,0.0009949028123997586,0.0013532264151030155,0.0010932717901597883,2088708,2135898,ENSG00000008710,1,0.0011471336725541875
24,0.0008013219548051974,0.0008174865413807179,0.0007372367287444106,21158377,21180616,ENSG00000011638,1,0.0007853484083101087
25,0.004078840670583805,0.004252827274061083,0.003916419179610578,29820394,29848039,ENSG00000013364,1,0.004082695708085155
27,0.001525461729851884,0.0015171731998164253,0.0015112083092794996,5033702,5087379,ENSG00000033011,1,0.0015179477463159363
28,0.0033879986368973553,0.0033475190158499648,0.0031624784776713723,75566375,75577881,ENSG00000034713,1,0.0032993320434728975
36,0.001205152102180123,0.0013928817066696548,0.0012745418367819889,11976734,12574287,ENSG00000048471,1,0.001290858548543922
38,0.007115768541808774,0.006651603980390852,0.00664462688149362,56932142,56944864,ENSG00000051108,1,0.006803999801231082
39,0.008165418721972219,0.007575520909746986,0.008334515065264093,88643275,88651083,ENSG00000051523,1,0.008025151565661099
47,0.0012361255214696097,0.0015317023623359215,0.00133974600389862,2025356,2039026,ENSG00000065054,1,0.0013691912959013838
49,0.0043271932208061754,0.004542569500152991,0.004101074831742113,75627474,75648643,ENSG00000065427,1,0.0043236125175670935
50,0.0006996126222068502,0.0007902966122579692,0.0007406800778173272,75596868,75623300,ENSG00000065457,1,0.0007435297707607155
51,0.0026362429046048004,0.002491155515546656,0.002512826169913604,20702816,20742084,ENSG00000066654,1,0.0025467415300216866
