filter_size,WT=>WT_ut,HGPS_ASO=>WT_ut,HGPS_NT=>WT_ut,HGPS_NT=>HGPS_ASO_ut,WRN_ASO=>WT_ut,WRN_NT=>WT_ut,WRN_NT=>WRN_ASO_ut,WT=>WT_lt,HGPS_ASO=>WT_lt,HGPS_NT=>WT_lt,HGPS_NT=>HGPS_ASO_lt,WRN_ASO=>WT_lt,WRN_NT=>WT_lt,WRN_NT=>WRN_ASO_lt,WT=>WT_diff,HGPS_ASO=>WT_diff,HGPS_NT=>WT_diff,HGPS_NT=>HGPS_ASO_diff,WRN_ASO=>WT_diff,WRN_NT=>WT_diff,WRN_NT=>WRN_ASO_diff
0.0,0.00012161087769852953,0.0004766471136351238,0.0006151080203958032,0.0003411382818971639,0.0006009108464344365,0.0005480629045237623,0.00036923346664058084,0.00012170446413791243,0.0003506757813952614,0.000672754712123395,0.0005829380499722325,0.0005545709861837035,0.0010905465982105676,0.0007729793191247667,-9.358643938289519e-08,0.00012597133223986242,-5.764669172759183e-05,-0.00024179976807506856,4.633986025073301e-05,-0.0005424836936868053,-0.00040374585248418584
0.5,1.1225348132122395e-05,4.0913506540405445e-05,4.3615767177210283e-05,2.5137580794251387e-05,4.466582599732946e-05,4.044783217195168e-05,2.8259576342532793e-05,1.1229944247806571e-05,2.6024849613988067e-05,4.387296593548011e-05,4.051935175587686e-05,3.666437499448347e-05,7.469307180028638e-05,5.704490240738444e-05,-4.596115684175951e-09,1.4888656926417378e-05,-2.5719875826982636e-07,-1.538177096162547e-05,8.00145100284599e-06,-3.4245239628334694e-05,-2.8785326064851646e-05
1.0,6.160787427879434e-06,2.604018045918847e-05,2.4658294278916136e-05,1.4220559778935122e-05,2.687654443371246e-05,2.3617224295116945e-05,1.6034163139557608e-05,6.161748968039671e-06,1.3721808664045643e-05,2.147678643148976e-05,2.23694764393738e-05,1.7757113052772936e-05,3.7382555114667153e-05,3.3223710708462036e-05,-9.61540160236933e-10,1.2318371795142827e-05,3.181507847426376e-06,-8.148916660438677e-06,9.119431380939523e-06,-1.3765330819550208e-05,-1.7189547568904428e-05
1.5,4.402000581275078e-06,2.1332858528119766e-05,2.0346097424933102e-05,1.1144682236302085e-05,2.1868760828652363e-05,1.9523187611331902e-05,1.2719348400293786e-05,4.4024542809523504e-06,1.010511647348624e-05,1.5879414154621796e-05,1.7330467340881666e-05,1.2873371159623042e-05,2.7721664496133476e-05,2.6581909470547824e-05,-4.5369967727240917e-10,1.1227742054633526e-05,4.466683270311306e-06,-6.185785104579582e-06,8.995389669029321e-06,-8.198476884801574e-06,-1.3862561070254038e-05
2.0,3.4716061100140856e-06,1.848335569966132e-05,1.8220314814583424e-05,9.652029900761607e-06,1.941001028248705e-05,1.726135237189381e-05,1.1037757595900848e-05,3.4718393760229106e-06,8.27482183351558e-06,1.3426718826826726e-05,1.4746829786036313e-05,1.0776788257732602e-05,2.3215549139648363e-05,2.318665749431452e-05,-2.3326600882500956e-10,1.020853386614574e-05,4.793595987756698e-06,-5.094799885274706e-06,8.633222024754447e-06,-5.954196767754553e-06,-1.2148899898413673e-05
2.5,2.88710999246263e-06,1.655337783910217e-05,1.6833334139068807e-05,8.808085944044088e-06,1.7957574237822567e-05,1.5793252890994054e-05,1.0015922420758652e-05,2.8872367900984675e-06,7.053051256225628e-06,1.2066341872643309e-05,1.3175763080272064e-05,9.584949823524889e-06,2.0616825073168208e-05,2.1005538914578368e-05,-1.2679763583747439e-10,9.500326582876543e-06,4.766992266425498e-06,-4.367677136227976e-06,8.372624414297678e-06,-4.823572182174153e-06,-1.0989616493819716e-05
3.0,2.4859632684021087e-06,1.5156981192752988e-05,1.576685338185961e-05,8.250460455711753e-06,1.6915596455580984e-05,1.4750449485071196e-05,9.266855148619514e-06,2.4860368571101843e-06,6.2275268317400244e-06,1.131899892789657e-05,1.215761154871482e-05,8.839293178607538e-06,1.8990306395533283e-05,1.944856381814005e-05,-7.358870807562282e-11,8.929454361012964e-06,4.447854453963042e-06,-3.907151093003067e-06,8.076303276973446e-06,-4.239856910462087e-06,-1.0181708669520537e-05
3.5,2.18611156510813e-06,1.409331729693151e-05,1.4920768868297815e-05,7.84609247707866e-06,1.6070664795911595e-05,1.3960492152198022e-05,8.661634707803609e-06,2.1861574574426946e-06,5.628404718257127e-06,1.0853605940492526e-05,1.15145511233784e-05,8.295779443647415e-06,1.7910070559024243e-05,1.8283035079206356e-05,-4.5892334564492606e-11,8.464912578674384e-06,4.067162927805289e-06,-3.6684586462997394e-06,7.77488535226418e-06,-3.949578406826221e-06,-9.621400371402747e-06
4.0,1.9509418393548095e-06,1.3189317036894765e-05,1.4235051072428411e-05,7.518251024749559e-06,1.5321682762022573e-05,1.3285098859927471e-05,8.165795159523762e-06,1.9509723909810425e-06,5.163329392256209e-06,1.0516383793884488e-05,1.1041371810970668e-05,7.86866211224462e-06,1.7225849901353622e-05,1.7305885447213784e-05,-3.055162623302537e-11,8.025987644638557e-06,3.7186672785439236e-06,-3.5231207862211095e-06,7.4530206497779535e-06,-3.940751041426151e-06,-9.140090287690023e-06
4.5,1.7573839566331261e-06,1.236874406860093e-05,1.3624773175562593e-05,7.240925495466356e-06,1.4626543936279538e-05,1.2684931690731e-05,7.758499819608447e-06,1.7574053082456115e-06,4.806044249277132e-06,1.0228358516507881e-05,1.067845183109629e-05,7.491633547758765e-06,1.669718777583261e-05,1.646257755858954e-05,-2.1351612485341978e-11,7.562699819323798e-06,3.3964146590547117e-06,-3.437526335629934e-06,7.134910388520773e-06,-4.012256085101609e-06,-8.704077738981092e-06
