filter_size,WT=>WT_ut,HGPS_ASO=>WT_ut,HGPS_NT=>WT_ut,HGPS_NT=>HGPS_ASO_ut,WRN_ASO=>WT_ut,WRN_NT=>WT_ut,WRN_NT=>WRN_ASO_ut,WT=>WT_lt,HGPS_ASO=>WT_lt,HGPS_NT=>WT_lt,HGPS_NT=>HGPS_ASO_lt,WRN_ASO=>WT_lt,WRN_NT=>WT_lt,WRN_NT=>WRN_ASO_lt,WT=>WT_diff,HGPS_ASO=>WT_diff,HGPS_NT=>WT_diff,HGPS_NT=>HGPS_ASO_diff,WRN_ASO=>WT_diff,WRN_NT=>WT_diff,WRN_NT=>WRN_ASO_diff
0.0,0.0007580716720199433,0.0034158831412289654,0.005327555385988104,0.0022633550754197086,0.004408752044554915,0.005075672549129595,0.0017646681773666848,0.0007587555947689648,0.002060378420237347,0.002434818436053306,0.000980881522877874,0.0026433652944313183,0.0024883563001507677,0.0007089183771254515,-6.839227490215271e-07,0.0013555047209916184,0.002892736949934798,0.0012824735525418345,0.0017653867501235963,0.0025873162489788272,0.0010557498002412332
0.5,8.686466935765174e-05,0.00042524506530972165,0.0005002483200453962,0.00020063651915668172,0.0005077862432021857,0.000547732028254767,0.0001975512865749734,8.690709359087078e-05,0.00021177994306331173,0.000249306929084025,0.00010976873517586338,0.0002683382776764332,0.00024368520428961918,9.556676255854544e-05,-4.242423321904011e-08,0.0002134651222464099,0.0002509413909613712,9.086778398081834e-05,0.0002394479655257525,0.00030404682396514783,0.00010198452401642796
1.0,4.428762327308316e-05,0.00029275888846670966,0.0003114580948530028,0.00011701153581510799,0.00037006292072926567,0.0003708782110702371,0.00012197451289753008,4.4307503242727446e-05,0.00013484962434860592,0.00016929705560203532,6.728274972319257e-05,0.00016427395589911715,0.00016300891118837215,6.951865815537447e-05,-1.9879969644285536e-08,0.00015790926411810374,0.0001421610392509675,4.972878609191542e-05,0.00020578896483014852,0.00020786929988186493,5.2455854742155606e-05
1.5,2.9973293882511936e-05,0.0002440955769828572,0.00025944662614034854,9.239049243950581e-05,0.00032022813363052894,0.0003050775304527677,9.487385775696951e-05,2.998217700872548e-05,0.00011155204766960159,0.0001456316505699394,5.3139311854761775e-05,0.0001336156934989401,0.00014120016883247818,6.0789500512661485e-05,-8.883126213542956e-09,0.0001325435293132556,0.00011381497557040913,3.925118058474404e-05,0.00018661244013158884,0.00016387736162028953,3.408435724430802e-05
2.0,2.3055293991220198e-05,0.00021853067974592674,0.00023584017563962293,8.076471633566205e-05,0.0002935092142279325,0.0002683156872283322,8.093788838811359e-05,2.3059393989268247e-05,0.00010223160487528767,0.00013392292795508863,4.71404340021814e-05,0.00012000955563902556,0.00013178177071077518,5.6492914028272294e-05,-4.099998048048668e-09,0.00011629907487063907,0.0001019172476845343,3.362428233348065e-05,0.00017349965858890693,0.00013653391651755704,2.4444974359841296e-05
2.5,1.8854111718971716e-05,0.00020176275398713366,0.00022160116638941622,7.51474828753862e-05,0.00027576823382328503,0.00024409286022581924,7.123907061381131e-05,1.885633563096921e-05,9.753476646053471e-05,0.00012746678621952963,4.4197566317263196e-05,0.00011233351215846544,0.00012700787800874397,5.3124613319236335e-05,-2.2239119974954086e-09,0.00010422798752659895,9.41343801698866e-05,3.094991655812301e-05,0.0001634347216648196,0.00011708498221707527,1.8114457294574972e-05
3.0,1.5960174575913e-05,0.00018925743029590348,0.0002109000355838553,7.150573108360362e-05,0.00026104138461558737,0.00022809162623070462,6.442877664665458e-05,1.596155646706202e-05,9.468310309637494e-05,0.00012348052069675205,4.214990026582065e-05,0.0001094723674061721,0.0001246529630894308,4.986638822547293e-05,-1.3818911490195193e-09,9.457432719952853e-05,8.741951488710326e-05,2.935583081778297e-05,0.00015156901720941526,0.00010343866314127382,1.4562388421181653e-05
3.5,1.3770306407124266e-05,0.00018012633855080663,0.00020436948040376967,6.872712874670612e-05,0.00024830649931520735,0.0002185697009567139,6.0200753240357226e-05,1.3771246420458485e-05,9.279731728527932e-05,0.00012056033874661195,4.03286654376145e-05,0.00010763285205676611,0.0001229214268839706,4.6536611618232124e-05,-9.4001333421935e-10,8.73290212655273e-05,8.380914165715772e-05,2.839846330909162e-05,0.00014067364725844125,9.56482740727433e-05,1.3664141622125102e-05
4.0,1.2031727455912334e-05,0.00017218929117995602,0.00019953565134272764,6.661653710352696e-05,0.00023711543020308985,0.00021178574869758283,5.728139012148953e-05,1.2032404572303365e-05,9.120617013062948e-05,0.0001189470737523246,3.901853821485576e-05,0.00010612442871934509,0.00012155112181570043,4.330068426430724e-05,-6.77116391031328e-10,8.098312104932653e-05,8.058857759040305e-05,2.7597998888671207e-05,0.00013099100148374477,9.02346268818824e-05,1.3980705857182293e-05
4.5,1.0672144213105293e-05,0.00016508743891325992,0.00019556768422307122,6.535742738026466e-05,0.00022723703636365184,0.0002070419171713612,5.5021858860841306e-05,1.0672651529018621e-05,8.981269322048218e-05,0.00011764277262651887,3.7983470164943035e-05,0.0001053256022572706,0.00012039108921329523,4.019020127611359e-05,-5.073159133283072e-10,7.527474569277773e-05,7.792491159655235e-05,2.7373957215321625e-05,0.00012191143410638125,8.665082795806596e-05,1.4831657584727719e-05
5.0,9.566023961906875e-06,0.0001590274236221055,0.00019221970986128462,6.465688336129175e-05,0.00021835962722370703,0.00020410748444439161,5.332917235913853e-05,9.566412278170963e-06,8.907038039202589e-05,0.00011662475756328264,3.708200919710071e-05,0.00010504035506212948,0.00011942732742140107,3.7349419368361385e-05,-3.8831626408750684e-10,6.995704323007961e-05,7.559495229800198e-05,2.7574874164191036e-05,0.00011331927216157755,8.468015702299054e-05,1.5979752990777143e-05
