,HGPS_917_L1_ASO_1,HGPS_478_L1_ASO_1,HGPS_297_L1_ASO_1,StartPos,EndPos,Gene_ID,labels,mean_value
0,0.0011523698158025263,0.0012580848807320793,0.0009843780044430732,100627108,100639991,ENSG00000000003,0,0.001131610900325893
1,0.0002466697673694233,0.00025974873596167997,0.00019431843248234274,65438549,65534810,ENSG00000001497,0,0.000233578978604482
3,8.2058246075113e-05,0.0002690764732617037,6.127869373714739e-05,117897813,118117340,ENSG00000003096,0,0.00013747113769132136
6,0.00038539370350906815,0.0003864412951279023,0.00034955232742517496,11758159,11775772,ENSG00000005302,0,0.0003737957753540485
9,0.00021023334598236138,0.00018185219020646772,0.00021448680428391047,2903972,2929349,ENSG00000006756,0,0.00020219078015757983
10,0.0002930486304822983,0.0002612619073514092,0.0003136243905552986,7898247,7927739,ENSG00000006757,0,0.00028931164279633536
11,1.8056744703172848e-06,0.0,0.0,154295795,154330350,ENSG00000007350,0,6.018914901057616e-07
12,0.0,0.0,3.6580307035895693e-06,100843324,100874359,ENSG00000007952,0,1.2193435678631898e-06
13,6.822189339527044e-06,8.628652697357302e-06,8.721752541498101e-06,47571901,47619857,ENSG00000008056,0,8.057531526127483e-06
14,0.00012863251119862276,0.00016903211708523946,0.00012692153422152476,18425583,18653629,ENSG00000008086,0,0.000141528720835129
15,1.4811122691212261e-06,0.0,0.0,124375903,125204312,ENSG00000009694,0,4.937040897070754e-07
16,0.00012330809837717477,0.00012476730886986278,0.00012411170061081678,149476988,149521096,ENSG00000010404,0,0.00012406236928595143
17,6.29308904720713e-06,0.00014175402813437475,1.3135233213288152e-06,8528874,8732137,ENSG00000011201,0,4.9786880167636895e-05
18,0.0009430990260351018,0.0010010722572686846,0.0010742705894592082,21839617,21885423,ENSG00000012174,0,0.0010061472909209982
19,9.752222532290475e-05,0.00012040856764727511,0.00012722062551785997,49174802,49186528,ENSG00000012211,0,0.0001150504728293466
21,0.0001453316393477504,0.00018561644305736198,0.00027947710872719845,150361422,150514178,ENSG00000013619,0,0.0002034750637107703
22,0.0,0.0,3.940013612819826e-06,48676596,48691431,ENSG00000015285,0,1.3133378709399418e-06
23,0.00024243943394724508,0.001364160701261586,0.000297499955232087,48458537,48470260,ENSG00000017483,0,0.0006347000301469727
26,0.0004668558857675787,0.0005500134068932519,0.0004931635716854418,150980509,150990771,ENSG00000029993,0,0.0005033442881154242
27,0.00012514610597940914,0.0001903174670294281,0.00020515937150826605,18892298,18984114,ENSG00000044446,0,0.0001735409815057011
28,0.0005148079191363987,0.00044515695847287463,0.0004509194416905394,14006726,14029893,ENSG00000046647,0,0.00047029477309993754
29,0.0004157614281284206,0.0004698439716283545,0.00036573275331162723,13734743,13777955,ENSG00000046651,0,0.0004171127176894674
30,6.844843154422023e-05,7.447144153458678e-05,7.903870905939372e-05,13770939,13938638,ENSG00000046653,0,7.398619404606691e-05
31,0.0,7.807690127101605e-05,0.0,142202342,142205290,ENSG00000046774,0,2.602563375700535e-05
32,0.0003441829025911067,0.0005163660710962275,0.0004246698546228247,16587999,16712936,ENSG00000047230,0,0.0004284062761033863
33,1.230538883722897e-06,4.1503363563284845e-06,0.0,37685791,37732130,ENSG00000047597,0,1.7936250800171272e-06
34,0.00028724184456563676,0.0002988446009505194,0.00031391486856416774,17737449,17754988,ENSG00000047634,0,0.00030000043802677466
35,0.0007055158119905388,0.0010739814903067402,0.0009424012759526187,10015254,10144474,ENSG00000047644,0,0.0009072995260832992
36,4.5819826911420234e-05,2.354322973344901e-05,2.144367806605232e-05,11117651,11665920,ENSG00000047648,0,3.0268911570307193e-05
37,1.4441884990010126e-05,6.958470575228164e-06,9.043135563307299e-06,49250438,49270477,ENSG00000049768,0,1.0147830376181862e-05
38,0.0002501349931755924,0.00014224334495245537,0.00019016955389722574,49269793,49301461,ENSG00000049769,0,0.00019418263067509116
39,1.5480972503953918e-06,0.0,0.0,74732856,74925472,ENSG00000050030,0,5.160324167984639e-07
40,0.00041045184004463584,0.0003379884282973896,0.00031088134587186337,130202707,130268899,ENSG00000056277,0,0.00035310720473796293
41,1.0549806394944677e-05,3.113439952295111e-05,1.1560528776229592e-05,2828822,2882820,ENSG00000056998,0,1.7748244898041794e-05
42,0.0,0.0,0.0,3041471,3112727,ENSG00000062096,0,0.0
43,0.00036495635224981655,0.0004592876697628534,0.0004447371976152025,153334147,153360110,ENSG00000063587,0,0.0004229937398759575
44,0.00035516486624979633,0.0006082784208276576,0.00036603834758774944,150692971,150765108,ENSG00000063601,0,0.0004431605448884011
46,0.00028074114635281153,0.00016993078222976544,9.375619159691061e-05,72578814,72714319,ENSG00000067177,0,0.0001814760400598292
47,0.0002825057810911416,0.00021902293771783738,0.00022438717794092262,54920462,54931431,ENSG00000067445,0,0.0002419719655833005
48,0.0005319342834052803,0.0005018729663455671,0.00043824204427618215,153785766,153794512,ENSG00000067829,0,0.0004906830980090099
49,5.866674253408863e-06,2.4733748802310683e-06,1.0714549287323527e-06,153802166,153830565,ENSG00000067840,0,3.137168020790761e-06
50,8.450768018904503e-07,0.0,0.0,153517642,153582939,ENSG00000067842,0,2.8169226729681675e-07
51,1.7913424430806747e-05,1.8681891159100492e-05,1.480830745419904e-05,24465244,24550466,ENSG00000067992,0,1.7134541014702092e-05
53,0.001222814589666063,0.0010412796267928732,0.0011376445131701096,49028726,49043410,ENSG00000068323,0,0.0011339129098763487
54,0.00013163849403562776,0.00019898225561303727,0.00016301433781175522,48539714,48562609,ENSG00000068354,0,0.00016454502915347344
56,0.00044160611360457403,0.00045978367021720754,0.0004516531710027174,49113407,49123735,ENSG00000068394,0,0.000451014318274833
57,0.00013494915661672017,0.00013497663002589607,0.00011626265434446691,48973720,49002264,ENSG00000068400,0,0.00012872948032902773
60,0.0,0.0,0.0,43766610,43882450,ENSG00000069535,0,0.0
62,0.0006636249865587775,0.0006331921908961937,0.0006925747283859531,154444141,154450654,ENSG00000071859,0,0.0006631306352803081
63,0.0005207844244071146,0.000495987578884179,0.0005063570556017894,154506159,154516242,ENSG00000071889,0,0.0005077096862976943
64,0.00014407491697401655,0.00010988433104011399,0.00023430468839132947,84058346,84206356,ENSG00000072133,0,0.00016275464546848666
65,1.090393564937258e-06,0.0,0.0,111768011,112082776,ENSG00000072315,0,3.6346452164575266e-07
66,0.0004532603026715025,0.0005150350857173324,0.0004874511717632639,53374149,53422728,ENSG00000072501,0,0.0004852488533840329
68,8.166892224567572e-05,3.123674189868273e-05,5.72018387844863e-05,10156975,10237660,ENSG00000073464,0,5.6702500976281584e-05
69,7.508028527753065e-06,0.0,0.0,80929500,80930347,ENSG00000073905,0,2.5026761759176885e-06
70,0.001176042802547091,0.0001580550847887946,0.0011508379329147353,133300103,133415489,ENSG00000076716,0,0.0008283119400835402
71,0.00010751393366374904,9.153534619287588e-05,7.930541056221511e-05,132369320,132489968,ENSG00000076770,0,9.278489680628e-05
72,0.0,0.00011666096391526997,6.233640178784738e-06,110944285,111227361,ENSG00000077264,0,4.096486803135157e-05
73,0.0,1.5199490495790573e-06,0.0,111245099,111270483,ENSG00000077274,0,5.066496831930191e-07
