filter_size,WT=>WT_ut,HGPS_ASO=>WT_ut,HGPS_NT=>WT_ut,HGPS_NT=>HGPS_ASO_ut,WRN_ASO=>WT_ut,WRN_NT=>WT_ut,WRN_NT=>WRN_ASO_ut,WT=>WT_lt,HGPS_ASO=>WT_lt,HGPS_NT=>WT_lt,HGPS_NT=>HGPS_ASO_lt,WRN_ASO=>WT_lt,WRN_NT=>WT_lt,WRN_NT=>WRN_ASO_lt,WT=>WT_diff,HGPS_ASO=>WT_diff,HGPS_NT=>WT_diff,HGPS_NT=>HGPS_ASO_diff,WRN_ASO=>WT_diff,WRN_NT=>WT_diff,WRN_NT=>WRN_ASO_diff
0.0,0.000722289405107676,0.0073796897626372615,0.008848789713040447,0.002140662526531719,0.00739094599595917,0.008907627799028392,0.0015478105295554827,0.0007228508793091916,0.004015113390359838,0.005503546766421541,0.0009885999217500723,0.004177634744781376,0.00529573718908579,0.0005490409347118691,-5.614742015155622e-07,0.0033645763722774235,0.0033452429466189065,0.0011520626047816468,0.003213311251177794,0.003611890609942602,0.0009987695948436136
0.5,9.750936474738765e-05,0.0010453366164450409,0.0010372893773903905,0.00028450963185198687,0.000962454208625785,0.001051109109813695,0.0002113346998901537,9.754402644772174e-05,0.0005669052394126724,0.0006765306653095394,0.00012753288297684276,0.0005043133314453618,0.0006942118098577028,8.30804914560441e-05,-3.4661700334086146e-08,0.0004784313770323684,0.0003607587120808511,0.0001569767488751441,0.00045814087718042324,0.00035689729995599213,0.0001282542084341096
1.0,4.7476815365536784e-05,0.000724138546010272,0.0007395644255167288,0.00019485561797662136,0.0006977850276511201,0.0007790893562653581,0.00015364105110278497,4.7485337368796985e-05,0.0004361345798101869,0.00045638701239593464,8.931243250930836e-05,0.00033986293609835494,0.0004683482769174491,5.855057153924797e-05,-8.522003260201202e-09,0.00028800396620008505,0.00028317741312079415,0.000105543185467313,0.0003579220915527652,0.000310741079347909,9.5090479563537e-05
1.5,3.227642268098727e-05,0.0006024275466310794,0.0006332338489756969,0.0001579670674901628,0.0005855628643204065,0.0006829044049854654,0.00012954098107187975,3.228037119316923e-05,0.000377999995281962,0.00037126429110548125,7.264060542628049e-05,0.0002875506806138868,0.0003815290186032558,4.991022437445507e-05,-3.948512181957799e-09,0.00022442755134911737,0.00026196955787021565,8.532646206388232e-05,0.0002980121837065197,0.00030137538638220964,7.963075669742469e-05
2.0,2.4855797954557456e-05,0.0005341782599758155,0.000571783430659862,0.00013793678930796205,0.0005253828014969105,0.0006199647842001773,0.00011412930900485498,2.485794129670579e-05,0.000337922878375472,0.00032950415061732373,6.402399351492354e-05,0.0002635047405269483,0.00033485211791117405,4.57577188664391e-05,-2.1433421483326657e-09,0.00019625538160034344,0.0002422792800425383,7.391279579303851e-05,0.0002618780609699622,0.00028511266628900326,6.837159013841588e-05
2.5,2.0433597295456295e-05,0.0004881019601051968,0.0005255645933594461,0.00012590206971941622,0.000477828152229321,0.0005718614750126816,0.00010223631720935907,2.043492441094901e-05,0.000310923363863446,0.00030811608332589115,5.809130019500717e-05,0.0002497655368075555,0.00030608189321206414,4.304665294658448e-05,-1.3271154927153492e-09,0.0001771785962417508,0.0002174485100335549,6.781076952440905e-05,0.00022806261542176554,0.0002657795818006175,5.9189664262774586e-05
3.0,1.7243926072840372e-05,0.0004519615761350009,0.0004894542257394957,0.00011582983438714444,0.0004379737503490468,0.0005313970885554533,9.319252184332521e-05,1.724482924473885e-05,0.0002940226456099891,0.00029471660486434984,5.3568629588193184e-05,0.00024114618217042992,0.00028635091922725003,4.086611554145169e-05,-9.031718984792169e-10,0.0001579389305250118,0.0001947376208751459,6.226120479895125e-05,0.0001968275681786169,0.00024504616932820327,5.232640630187352e-05
3.5,1.4901868538674041e-05,0.0004229999772444509,0.0004588766028768599,0.00010819182945878027,0.00040517866954385386,0.0004962742588946555,8.677701677120866e-05,1.4902520122147562e-05,0.00028398191006494673,0.00028589136897704383,5.140219292835003e-05,0.00023505459640889317,0.0002729906053586196,3.909051327557385e-05,-6.515834735202903e-10,0.00013901806717950418,0.00017298523389981609,5.678963653043024e-05,0.0001701240731349607,0.0002232836535360359,4.768650349563481e-05
4.0,1.3083543270872655e-05,0.00039875981565839656,0.0004317241113983589,0.00010185008288673457,0.0003814714709137127,0.00046586919374176286,8.144239310043654e-05,1.3084031056384134e-05,0.00027564480036282004,0.0002819731112457864,5.00628094092197e-05,0.00023013155563521106,0.0002646137410822564,3.74939774173112e-05,-4.87785511479454e-10,0.00012311501529557652,0.0001497510001525725,5.178727347751487e-05,0.00015133991527850163,0.00020125545265950646,4.3948415683125345e-05
4.5,1.1598495620254953e-05,0.0003792479950849312,0.0004078928441762428,9.645881287382159e-05,0.00036233566393342384,0.0004389627577340013,7.683436924074307e-05,1.1598870255576494e-05,0.0002681837597154178,0.00027887556559976184,4.960590114658201e-05,0.00022569378835845383,0.00025792058641913897,3.5988322648920156e-05,-3.746353215409342e-10,0.0001110642353695134,0.00012901727857648094,4.685291172723958e-05,0.00013664187557497,0.00018104217131486233,4.084604659182292e-05
5.0,1.0378870974304489e-05,0.000365927451524593,0.0003884208067684956,9.238224499886473e-05,0.00035058422332049196,0.0004162421838446972,7.276173741923158e-05,1.0379165895574674e-05,0.0002616262740752802,0.0002765810618087655,4.9594655546740325e-05,0.00022166932096991064,0.00025231630423180125,3.45749229521067e-05,-2.9492127018521455e-10,0.00010430117744931279,0.0001118397449597301,4.27875894521244e-05,0.00012891490235058132,0.00016392587961289596,3.8186814467124884e-05
