filter_size,Grp_1_20=>Grp_1_20_ut,Grp_21_40=>Grp_1_20_ut,Grp_41_60=>Grp_1_20_ut,Grp_61_80=>Grp_1_20_ut,Grp_81_100=>Grp_1_20_ut,Grp_1_20=>Grp_1_20_lt,Grp_21_40=>Grp_1_20_lt,Grp_41_60=>Grp_1_20_lt,Grp_61_80=>Grp_1_20_lt,Grp_81_100=>Grp_1_20_lt,Grp_1_20=>Grp_1_20_diff,Grp_21_40=>Grp_1_20_diff,Grp_41_60=>Grp_1_20_diff,Grp_61_80=>Grp_1_20_diff,Grp_81_100=>Grp_1_20_diff
0.0,0.0003386032522538612,0.00030568012720471775,0.00032442084281428035,0.00039510284480157173,0.0005891721337214841,0.0003399818627072524,0.0004284116446043805,0.0004902635219326847,0.0004149121018715562,0.00038234809891031843,-1.3786104533912457e-06,-0.00012273151739966277,-0.00016584267911840434,-1.9809257069984467e-05,0.00020682403481116565
0.5,0.00023113957027972692,0.00020699704098752758,0.00021672762188800585,0.0002643558822855039,0.00045397244218964473,0.0002319708784656565,0.0002913722570113307,0.0003590824237872883,0.0002972289459621553,0.00029848386313020397,-8.313081859295682e-07,-8.437521602380313e-05,-0.00014235480189928244,-3.2873063676651403e-05,0.00015548857905944076
1.0,0.00020586367542055735,0.00018340544455806282,0.00019104235404558638,0.0002366547566366977,0.00042611516680451385,0.00020642892052849448,0.0002523199137528257,0.00033424573851131,0.00027212242107981524,0.0002836524256062907,-5.652451079371263e-07,-6.89144691947629e-05,-0.0001432033844657236,-3.546766444311754e-05,0.00014246274119822318
1.5,0.00018965724848520762,0.0001669106180351468,0.0001736783622561542,0.00021735694389458333,0.0004040129354160618,0.00019005527727587,0.00023051289460762153,0.0003108582974932266,0.0002520346890708859,0.0002704464853612799,-3.9802879066237794e-07,-6.360227657247473e-05,-0.00013717993523707243,-3.4677745176302574e-05,0.0001335664500547819
2.0,0.00017545564985671527,0.00015284654760521543,0.00015962251677717552,0.00020038751613450282,0.0003835252319015245,0.0001757387775327988,0.0002161261037527796,0.0002892227182811266,0.00023409789043229366,0.00025708326769119036,-2.831276760835292e-07,-6.327955614756419e-05,-0.00012960020150395106,-3.371037429779084e-05,0.00012644196421033417
2.5,0.0001633521380658087,0.0001412632924575708,0.0001479781659614384,0.00018577024543829057,0.0003655875922395102,0.00016355775632429434,0.00020704764496217083,0.00027030576557142004,0.00021804429619374244,0.00024450342408397803,-2.0561825848564226e-07,-6.578435250460002e-05,-0.00012232759960998163,-3.227405075545187e-05,0.00012108416815553218
3.0,0.00015255443793222342,0.00013130132674481364,0.00013806639785920357,0.00017275712246383259,0.0003530576957081822,0.00015270785276739993,0.00019977539641212778,0.00025364193731440554,0.00020366321273942024,0.00023253235843470572,-1.534148351765147e-07,-6.847406966731414e-05,-0.00011557553945520198,-3.0906090275587656e-05,0.00012052533727347647
3.5,0.00014302406492693184,0.00012268152775935643,0.0001296858712247883,0.00016125195757102224,0.00034247236218481244,0.00014314215542946316,0.00019317736778921144,0.0002393725245484005,0.00019112096424446777,0.0002223787743283479,-1.1809050253131946e-07,-7.049584002985501e-05,-0.0001096866533236122,-2.9869006673445537e-05,0.00012009358785646453
4.0,0.00013457189567777787,0.00011629012498868386,0.00012250342805883774,0.0001512559539513377,0.000332602779518673,0.0001346654739132716,0.0001871902243206157,0.00022682033087868098,0.00018003879463840143,0.00021475550707993445,-9.357823549372129e-08,-7.090009933193183e-05,-0.00010431690281984324,-2.878284068706373e-05,0.00011784727243873856
4.5,0.00012756464024725803,0.0001112895217166708,0.00011688120113334209,0.00014297126000300256,0.0003238344902788043,0.00012764085711807141,0.00018173193533928706,0.00021577437579136361,0.00017023640921981284,0.0002070609130765374,-7.62168708133852e-08,-7.044241362261626e-05,-9.889317465802153e-05,-2.726514921681027e-05,0.00011677357720226691
5.0,0.0001228489874620923,0.00010710127400590018,0.00011327125800926306,0.00013737483469688862,0.00031615857275130675,0.00012291305175894722,0.0001767249369851907,0.0002076272667308575,0.00016232042316300578,0.00019962059600094173,-6.406429685492732e-08,-6.962366297929052e-05,-9.435600872159444e-05,-2.4945588466117156e-05,0.00011653797675036502
