,WT_1_1,WT_2_1,WT_3_1,StartPos,EndPos,Gene_ID,labels,mean_value
3,0.000887518230176253,0.0009625606147364001,0.0008422356035692424,23730189,23889400,ENSG00000027001,0,0.0008974381494939652
4,0.0006290753715947614,0.0005665948696954589,0.00048147105224104837,20567138,20691444,ENSG00000032742,0,0.0005590470978437562
5,4.317397414847874e-06,1.0275368659300323e-05,7.192715886614547e-06,108596152,109208005,ENSG00000041515,0,7.2618273202542485e-06
6,3.856350084643645e-06,0.0,0.0,99981784,99986765,ENSG00000043355,0,1.2854500282145484e-06
7,2.6717328503167358e-05,2.6494588955031758e-05,4.0059583922144155e-05,113105788,113120685,ENSG00000057593,0,3.1090500460114426e-05
9,0.00020602113776247848,0.0003532710890247989,0.0003241426483528605,112690038,112887168,ENSG00000068650,0,0.0002944782917133793
10,0.000448217837654609,0.0005472590008577852,0.00044736159072205164,31846713,32299125,ENSG00000073910,0,0.0004809461430781486
11,0.0,0.0,0.0,24680408,24712472,ENSG00000075673,0,0.0
12,0.0,0.0,3.3639780462272484e-06,94436811,94479682,ENSG00000080166,0,1.1213260154090828e-06
13,0.0,0.0,0.0,46053186,46105033,ENSG00000080618,0,0.0
16,0.0011693224087977315,0.0010550353251719247,0.0011347996408625695,60396457,60573878,ENSG00000083544,0,0.0011197191249440752
17,0.001006241387345495,0.001032560366627841,0.0010422724756442695,44939249,44989471,ENSG00000083635,0,0.0010270247432058685
19,0.0,0.0,0.0,98683801,98752672,ENSG00000088386,0,0.0
20,0.00037164739958112054,0.0004524491105450808,0.00045709320728842676,98793429,99086625,ENSG00000088387,0,0.00042706323913820933
22,0.0010511141074202065,0.0012449488901261575,0.0012183985023875527,94574054,94596242,ENSG00000088451,0,0.0011714871666446388
23,5.577575729992746e-06,2.528491995701967e-06,8.761173300322773e-06,46334681,46438190,ENSG00000102445,0,5.622413675339161e-06
24,0.00019575279910269533,0.00022983905997747637,0.00021850112364469698,101053776,101416508,ENSG00000102452,0,0.00021469766090828957
25,0.0002249962573918094,0.0001638655374183091,0.0001318085695547821,101710804,102402457,ENSG00000102466,0,0.00017355678812163355
26,9.023749219597316e-05,8.590578387423458e-05,6.539539474281422e-05,46831546,46897076,ENSG00000102468,0,8.051289027100732e-05
28,9.124635846965428e-05,9.213084063427387e-05,7.877140708699272e-05,108251240,108308484,ENSG00000102524,0,8.738286873030694e-05
30,0.0,0.0,0.0,49220338,49222377,ENSG00000102539,0,0.0
31,0.00032186496466894417,0.00036217341752124417,0.00029218625269418567,49247925,49293485,ENSG00000102543,0,0.00032540821162812465
33,0.00040693454379169653,0.00035566411040397454,0.0002550917492377637,73054976,73077541,ENSG00000102554,0,0.0003392301344778116
37,0.0008592667360833372,0.0011178908641768862,0.0009472850760377586,111114559,111305737,ENSG00000102606,0,0.0009748142254326606
38,0.0,0.0,2.6154250746503257e-06,21671073,21704498,ENSG00000102678,0,8.718083582167752e-07
41,0.0013809563499630017,0.0014196180239872697,0.0013711109789148275,37009312,37059713,ENSG00000102710,0,0.0013905617842883662
46,0.0010962891606416017,0.0010065294328861778,0.0009973377874743959,41457550,41470871,ENSG00000102760,0,0.0010333854603340584
48,0.0013643669312569892,0.0015040329384986334,0.0012867206821393794,42040036,42256578,ENSG00000102780,0,0.0013850401839650007
51,2.875329511306317e-05,4.2770372479431724e-05,2.874152185340902e-05,51767993,51804163,ENSG00000102796,0,3.34217298153013e-05
54,0.0003865055240357107,0.00035603982319447347,0.0004141420370068696,76990660,77019143,ENSG00000102805,0,0.0003855624614123512
55,0.0,0.0,0.0,53028813,53052057,ENSG00000102837,0,0.0
58,0.0,2.39878312664678e-06,3.0224490022145278e-06,57631744,57729311,ENSG00000118946,0,1.8070773762871028e-06
59,0.00037640761355881935,0.00030186145538184096,0.00044986830751980294,43213130,43786972,ENSG00000120658,0,0.00037604579215348775
60,0.0,0.0,4.638696653668965e-06,42562736,42608013,ENSG00000120659,0,1.546232217889655e-06
61,0.0007894523681998954,0.0007809054180733352,0.0007329986033969339,41216369,41263577,ENSG00000120662,0,0.0007677854632233881
62,1.2614229046948962e-05,1.6011603742271027e-05,2.5218128085456773e-06,36346431,36369601,ENSG00000120664,0,1.0382548532588556e-05
63,1.5090563534698528e-05,0.0,0.0,36168217,36214588,ENSG00000120669,0,5.030187844899509e-06
65,0.00040162024929593664,0.0006564620943578174,0.0004758635630895086,39009865,39038089,ENSG00000120685,0,0.0005113153022477542
71,0.0010501388157372726,0.0008968653307696144,0.0011380771825138698,41189834,41194569,ENSG00000120696,0,0.001028360443006919
76,1.7033321946057227e-05,1.1582617280034012e-05,2.4323354081638607e-06,20138255,20161052,ENSG00000121743,0,1.0349424878085033e-05
77,0.0,0.0,0.0,28003274,28100592,ENSG00000122025,0,0.0
81,0.0007061986830519756,0.0007713016242766011,0.0007832694786121875,27270830,27275192,ENSG00000122035,0,0.0007535899286469213
83,0.0006601692899325549,0.000848807715615199,0.0006940316894307366,49912702,49936490,ENSG00000123178,0,0.000734336231659497
85,2.833211616772988e-05,4.227766107373362e-05,3.506349540283832e-05,51930436,52012125,ENSG00000123191,0,3.522442421476728e-05
86,0.0010456437535577494,0.0012992221126283368,0.0011613506831390143,45954465,46052759,ENSG00000123200,0,0.0011687388497750334
87,0.0,0.0,0.0,50994511,51080862,ENSG00000123201,0,0.0
88,0.0,0.0,0.0,99254732,99261744,ENSG00000125245,0,0.0
89,1.05333260650815e-05,1.6712817560951788e-05,1.754835571535094e-05,99606669,99909459,ENSG00000125246,0,1.4931499780461409e-05
90,0.00030342932241755655,0.00022627654662414154,0.00025679830392348575,100603625,100675093,ENSG00000125247,0,0.00026216805765506124
92,0.0,0.0,0.0,103043998,103066417,ENSG00000125255,0,0.0
94,0.0011381895590046288,0.0015505178678421453,0.0012314780272319938,106489745,106535662,ENSG00000125266,0,0.0013067284846929228
95,0.0,0.0,0.0,94709622,94712545,ENSG00000125285,0,0.0
97,0.0006879338885697546,0.0008123892359443945,0.0006981507211566406,112485011,112588205,ENSG00000126216,0,0.0007328246152235965
98,5.478621469502262e-07,3.0424501197431936e-06,0.0,112894378,113099742,ENSG00000126217,0,1.1967707555644732e-06
99,0.0011932890274395482,0.0013202473792689703,0.0011767537926167708,113122799,113149529,ENSG00000126218,0,0.0012300967331084298
101,0.0,0.0,0.0,113158648,113172386,ENSG00000126231,0,0.0
105,7.241661852809097e-06,1.4362577705835959e-05,1.3270943739502617e-05,25371974,26025851,ENSG00000132932,0,1.1625061099382557e-05
106,2.1032975754961704e-05,1.9069829482663318e-05,1.5017402521713784e-05,28820339,29505947,ENSG00000132938,0,1.8373402586446268e-05
108,0.0012848304663643333,0.0012981774734023971,0.0012843043928483441,30617693,30660770,ENSG00000132952,0,0.0012891041108716915
110,1.6642839800789735e-05,1.3203272018009626e-05,4.9908075762690105e-05,19422876,19561625,ENSG00000132958,0,2.658472919382982e-05
113,1.4795791728110196e-05,2.9344881502093083e-05,3.697433403683569e-05,30713478,30764426,ENSG00000132965,0,2.703833575567966e-05
114,0.0011825569375711663,0.0013926700180853892,0.0011796253842452158,26557683,26688948,ENSG00000132970,0,0.0012516174466339236
115,0.0,0.0,0.0,24764169,24879921,ENSG00000132972,0,0.0
116,0.00010886696646434093,0.00014835704734208484,0.00014919198777133856,35768652,36131382,ENSG00000133083,0,0.00013547200052592144
117,0.0,0.0,0.0,36431520,36442870,ENSG00000133101,0,0.0
120,1.5212699387681537e-05,0.0,0.0,31739526,31803389,ENSG00000133105,0,5.070899795893845e-06
121,0.00032208040720973824,0.00030457531567891933,0.0003142217669831477,42886388,42992271,ENSG00000133106,0,0.00031362582995726843
124,0.00015941696307090954,0.0002354964876063288,0.00023078520586679912,36819222,36829104,ENSG00000133111,0,0.0002085662188480125
126,0.0011456332952184153,0.001114962044941927,0.0010410583779598807,44989529,45037669,ENSG00000133114,0,0.0011005512393734076
127,0.0,0.0,0.0,38965925,38990859,ENSG00000133115,0,0.0
128,1.5032454130802551e-05,1.3913321370280683e-05,1.0017532793535308e-05,33016423,33066143,ENSG00000133116,0,1.2987769431539514e-05
