StartPos,EndPos,Gene_ID,WT_1_1,WT_2_1,WT_3_1,HGPS_917_SCR_1,HGPS_478_SCR_1,HGPS_297_SCR_1,HGPS_917_NT_1,HGPS_478_NT_1,HGPS_297_NT_1,WRN_1_NT_1,WRN_2_NT_1,WRN_3_NT_1,WRN_1_L1_ASO_1,WRN_2_L1_ASO_1,WRN_3_L1_ASO_1,HGPS_917_L1_ASO_1,HGPS_478_L1_ASO_1,HGPS_297_L1_ASO_1,WRN_1_SCR_1,WRN_2_SCR_1,WRN_3_SCR_1
64091,64320,ENSG00000253620,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
200385,200562,ENSG00000255464,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
202660,202897,ENSG00000253166,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
213186,232231,ENSG00000223508,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
232137,264703,ENSG00000172748,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
233119,233692,ENSG00000272812,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
234347,234887,ENSG00000272240,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
237045,237669,ENSG00000273402,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
375931,384079,ENSG00000182366,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
406428,477967,ENSG00000147364,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
450714,451343,ENSG00000272293,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
486117,488512,ENSG00000279852,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
489803,545781,ENSG00000180190,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
614746,738106,ENSG00000104714,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
725188,725877,ENSG00000254207,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1755778,1801711,ENSG00000182372,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1761054,1764508,ENSG00000253982,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1763888,1958627,ENSG00000283239,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
