filter_size,Grp_1_20=>Grp_1_20_ut,Grp_21_40=>Grp_1_20_ut,Grp_41_60=>Grp_1_20_ut,Grp_61_80=>Grp_1_20_ut,Grp_81_100=>Grp_1_20_ut,Grp_1_20=>Grp_1_20_lt,Grp_21_40=>Grp_1_20_lt,Grp_41_60=>Grp_1_20_lt,Grp_61_80=>Grp_1_20_lt,Grp_81_100=>Grp_1_20_lt,Grp_1_20=>Grp_1_20_diff,Grp_21_40=>Grp_1_20_diff,Grp_41_60=>Grp_1_20_diff,Grp_61_80=>Grp_1_20_diff,Grp_81_100=>Grp_1_20_diff
0.0,1.2827390775795472e-05,1.773917558026224e-05,1.6823410252306862e-05,1.9304227091301222e-05,2.6061413418116394e-05,1.2956215959572463e-05,1.1310857678470309e-05,1.3775507545111626e-05,1.252822010694045e-05,1.1242648532036943e-05,-1.2882518377699086e-07,6.428317901791932e-06,3.0479027071952367e-06,6.776006984360772e-06,1.4818764886079451e-05
0.5,5.351260682456135e-06,7.535785944879764e-06,6.716551100474757e-06,7.99514501964964e-06,1.2189693471927612e-05,5.403438905415279e-06,4.853419912354857e-06,5.5134136528503105e-06,5.208936725044341e-06,5.2037573895092425e-06,-5.2178222959143783e-08,2.6823660325249067e-06,1.2031374476244466e-06,2.7862082946052994e-06,6.98593608241837e-06
1.0,4.277246396312601e-06,6.219394360473214e-06,5.467164801738173e-06,6.595869029729822e-06,1.0422835638749555e-05,4.310316743392716e-06,3.903082811970255e-06,4.467803319148619e-06,4.255672947075163e-06,4.416213799496925e-06,-3.3070347080114764e-08,2.316311548502959e-06,9.993614825895535e-07,2.340196082654659e-06,6.00662183925263e-06
1.5,3.6157669247930965e-06,5.43465304863611e-06,4.744602178885174e-06,5.777767642955313e-06,9.320825393049707e-06,3.6351610472272134e-06,3.2707148125245216e-06,3.820313438122999e-06,3.6636953787934193e-06,3.896672312280928e-06,-1.939412243411692e-08,2.163938236111588e-06,9.242887407621755e-07,2.1140722641618934e-06,5.4241530807687795e-06
2.0,3.1314107404733552e-06,4.836945137915228e-06,4.204954504601014e-06,5.1506457030980734e-06,8.452547866558191e-06,3.1426358843559727e-06,2.751350768253446e-06,3.2775212626007562e-06,3.163766815417994e-06,3.3958154455521716e-06,-1.1225143882617475e-08,2.0855943696617824e-06,9.274332420002574e-07,1.9868788876800795e-06,5.05673242100602e-06
2.5,2.748306493706965e-06,4.346479565053942e-06,3.754733796456077e-06,4.6367035112668295e-06,7.750819459013226e-06,2.7555215848401136e-06,2.363268967596393e-06,2.8338638117386146e-06,2.732841662004856e-06,2.9856401603096658e-06,-7.215091133148406e-09,1.9832105974575487e-06,9.208699847174622e-07,1.9038618492619734e-06,4.765179298703561e-06
3.0,2.457146533710129e-06,3.958469388045469e-06,3.3858949505707615e-06,4.203314555560968e-06,7.19444187847169e-06,2.461854365471883e-06,2.0517741340343425e-06,2.4747150676258196e-06,2.370347917809978e-06,2.6676048053734755e-06,-4.707831761753949e-09,1.9066952540111269e-06,9.111798829449418e-07,1.8329666377509905e-06,4.526837073098215e-06
3.5,2.2158546344043826e-06,3.6446110635070862e-06,3.0827874549109403e-06,3.8413736059204335e-06,6.736337397869265e-06,2.2189651270142544e-06,1.8220848464161028e-06,2.1840566356202427e-06,2.072280242000134e-06,2.473757707629581e-06,-3.110492609871733e-09,1.8225262170909835e-06,8.987308192906975e-07,1.7690933639202995e-06,4.262579690239684e-06
4.0,2.016369888812875e-06,3.395492820514562e-06,2.8444440508647945e-06,3.5483330005493316e-06,6.3653452795697655e-06,2.0184022795683717e-06,1.6521214516851355e-06,1.952451828579239e-06,1.8473778158411996e-06,2.3837582667488173e-06,-2.0323907554967567e-09,1.7433713688294265e-06,8.919922222855556e-07,1.700955184708132e-06,3.981587012820949e-06
4.5,1.8497648418833058e-06,3.189558067290133e-06,2.647866622130088e-06,3.304984018388637e-06,6.057694139123904e-06,1.85130115425181e-06,1.5385821965454799e-06,1.7646006919463733e-06,1.6771449484000937e-06,2.3664067348642404e-06,-1.5363123685043454e-09,1.650975870744653e-06,8.832659301837148e-07,1.6278390699885432e-06,3.6912874042596632e-06
5.0,1.7107486901419583e-06,3.018457117531416e-06,2.4826551900567248e-06,3.1000728313597374e-06,5.803624875658177e-06,1.7116234434884378e-06,1.4637144069679677e-06,1.610974642214167e-06,1.5507928096941684e-06,2.395339924470203e-06,-8.747533464795321e-10,1.5547427105634483e-06,8.716805478425578e-07,1.549280021665569e-06,3.408284951187974e-06
